Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
1,Biochemistry,12-19-2024,2:30PM-5:00PM,CULM,LECT 1,Balasubramanian,CHEM,473
101,Biochemistry Lab I,12-16-2024,6:00PM-8:30PM,TIER,209,Farinas,CHEM,475
101,Adv Organic Chem:Structr,12-19-2024,6:00PM-8:30PM,TIER,107,Del Castillo,CHEM,605
101,Special Topics,12-16-2024,6:00PM-8:30PM,FMH,307,Pacheco,CHEM,702
101,Pharmaceutical Analysis,12-18-2024,6:00PM-8:30PM,TIER,LECT 1,DePaolo,CHEM,714
101,Intro to the Concrete Industry,12-16-2024,6:00PM-8:30PM,FMH,306,Girgis,CIM,101
103,Intro to the Concrete Industry,12-16-2024,6:00PM-8:30PM,CKB,320,Mahgoub,CIM,101
101,Concrete Properties & Testing,12-20-2024,6:00PM-8:30PM,CKB,222,Ables,CIM,205
1,Concrete Applications I,12-19-2024,2:30PM-5:00PM,FMH,110,Valoura,CIM,210
101,Concrete Applications II,12-18-2024,6:00PM-8:30PM,FMH,411,Valoura,CIM,215
101,Concrete Construction Methods,12-20-2024,6:00PM-8:30PM,CKB,114,Arocha,CIM,315
101,Senior Project In Cim,12-19-2024,6:00PM-8:30PM,CKB,320,Mahgoub,CIM,410
103,Structural Syst Construc,12-20-2024,6:00PM-8:30PM,FMH,108,Washington,CMT,332
1,Intro to Com Media,12-20-2024,2:30PM-5:00PM,CKB,212,Snyder,COM,201
1,Communication Special Topics,12-18-2024,8:30AM-11:00AM,FMH,313,Pan,COM,225
3,Communication Special Topics,12-18-2024,8:30AM-11:00AM,FMH,313,Pan,COM,225
1,Video Narative,12-17-2024,2:30PM-5:00PM,CKB,214,Klobucar,COM,303
1,Interpersonal Communication,12-20-2024,11:30AM-2:00PM,CKB,222,Sun,COM,310
1,ST:,12-19-2024,8:30AM-11:00AM,CKB,226,Sun,COM,325
3,ST:,12-19-2024,8:30AM-11:00AM,CKB,313,Rutkoff,COM,325
1,Photojournalism,12-16-2024,8:30AM-11:00AM,CKB,222,Johnson,COM,337
1,Practical Journalism,12-16-2024,2:30PM-5:00PM,CKB,222,Ascarelli,COM,339
1,Documentary Film and Media,12-18-2024,8:30AM-11:00AM,CKB,206,Rutkoff,COM,341
101,Applied Visual Communication,12-18-2024,6:00PM-8:30PM,MALL,PC37,Carlson,COM,353
1,Digital Media Futures,12-20-2024,2:30PM-5:00PM,CKB,226,Klobucar,COM,355
1,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Spirollari,CS,100
3,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Kaur,CS,100
7,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Qerimaj,CS,100
9,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Yusuf,CS,100
11,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Kaur,CS,100
13,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Kaur,CS,100
15,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Qerimaj,CS,100
19,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Islam,CS,100
23,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Nemane,CS,100
25,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Ayad,CS,100
27,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Qerimaj,CS,100
29,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Qerimaj,CS,100
31,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Lay,CS,100
33,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Yusuf,CS,100
35,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Qerimaj,CS,100
37,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Kaur,CS,100
